,都道府県(漢字),都道府県(ローマ字)
0,北海道,sapporo
1,青森県,aomori
2,岩手県,morioka
3,宮城県,sendai
4,秋田県,akita
5,山形県,yamagata
6,福島県,fukushima
7,茨城県,mito
8,栃木県,utsunomiya
9,群馬県,maebashi
10,埼玉県,saitama
11,千葉県,chiba
12,東京都,shinjuku
13,神奈川県,yokohama
14,新潟県,niigata
15,富山県,toyama
16,石川県,kanazawa
17,福井県,fukui
18,山梨県,kofu
19,長野県,nagano
20,岐阜県,gifu
21,静岡県,shizuoka
22,愛知県,nagoya
23,三重県,tsu
24,滋賀県,otsu
25,京都府,kyouto
26,大阪府,osaka
27,兵庫県,koube
28,奈良県,nara
29,和歌山県,wakayama
30,鳥取県,tottori
31,島根県,matsue
32,岡山県,okayama
33,広島県,hiroshima
34,山口県,yamaguchi
35,徳島県,tokushima
36,香川県,takamatsu
37,愛媛県,matsuyama
38,高知県,kochi
39,福岡県,fukuoka
40,佐賀県,saga
41,長崎県,nagasaki
42,熊本県,kumamoto
43,大分県,oita
44,宮崎県,miyazaki
45,鹿児島県,kagoshima
46,沖縄県,naha
