,title,url
0,About,https://www.python.org/about/
1,Applications,https://www.python.org/about/apps/
2,Quotes,https://www.python.org/about/quotes/
3,Getting Started,https://www.python.org/about/gettingstarted/
4,Help,https://www.python.org/about/help/
5,Python Brochure,http://brochure.getpython.info/
6,Downloads,https://www.python.org/downloads/
7,All releases,https://www.python.org/downloads/
8,Source code,https://www.python.org/downloads/source/
9,Windows,https://www.python.org/downloads/windows/
10,macOS,https://www.python.org/downloads/macos/
11,Other Platforms,https://www.python.org/download/other/
12,License,https://docs.python.org/3/license.html
13,Alternative Implementations,https://www.python.org/download/alternatives
14,Documentation,https://www.python.org/doc/
15,Docs,https://www.python.org/doc/
16,Audio/Visual Talks,https://www.python.org/doc/av
17,Beginner's Guide,https://wiki.python.org/moin/BeginnersGuide
18,Developer's Guide,https://devguide.python.org/
19,FAQ,https://docs.python.org/faq/
20,Non-English Docs,http://wiki.python.org/moin/Languages
21,PEP Index,http://python.org/dev/peps/
22,Python Books,https://wiki.python.org/moin/PythonBooks
23,Python Essays,https://www.python.org/doc/essays/
24,Community,https://www.python.org/community/
25,Diversity,https://www.python.org/community/diversity/
26,Mailing Lists,https://www.python.org/community/lists/
27,IRC,https://www.python.org/community/irc/
28,Forums,https://www.python.org/community/forums/
29,PSF Annual Impact Report,https://www.python.org/psf/annual-report/2021/
30,Python Conferences,https://www.python.org/community/workshops/
31,Special Interest Groups,https://www.python.org/community/sigs/
32,Python Logo,https://www.python.org/community/logos/
33,Python Wiki,https://wiki.python.org/moin/
34,Merchandise,https://www.python.org/community/merchandise/
35,Community Awards,https://www.python.org/community/awards
36,Code of Conduct,https://www.python.org/psf/conduct/
37,Get Involved,https://www.python.org/psf/get-involved/
38,Shared Stories,https://www.python.org/psf/community-stories/
39,Success Stories,https://www.python.org/success-stories/
40,Arts,https://www.python.org/success-stories/category/arts/
41,Business,https://www.python.org/success-stories/category/business/
42,Education,https://www.python.org/success-stories/category/education/
43,Engineering,https://www.python.org/success-stories/category/engineering/
44,Government,https://www.python.org/success-stories/category/government/
45,Scientific,https://www.python.org/success-stories/category/scientific/
46,Software Development,https://www.python.org/success-stories/category/software-development/
47,News,https://www.python.org/blogs/
48,Python News,https://www.python.org/blogs/
49,PSF Newsletter,https://www.python.org/psf/newsletter/
50,Community News,http://planetpython.org/
51,PSF News,http://pyfound.blogspot.com/
52,PyCon News,http://pycon.blogspot.com/
53,Events,https://www.python.org/events/
54,Python Events,https://www.python.org/events/python-events/
55,User Group Events,https://www.python.org/events/python-user-group/
56,Python Events Archive,https://www.python.org/events/python-events/past/
57,User Group Events Archive,https://www.python.org/events/python-user-group/past/
58,Submit an Event,https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event
59,Contributing,https://www.python.org/dev/
60,Developer's Guide,https://devguide.python.org/
61,Issue Tracker,https://bugs.python.org/
62,python-dev list,https://mail.python.org/mailman/listinfo/python-dev
63,Core Mentorship,https://www.python.org/dev/core-mentorship/
64,Report a Security Issue,https://www.python.org/dev/security/
